id,novel_id,keyword_id,engagement
11,margan005,5,"In Go Tell It on the Mountain, James Baldwin depicts Black Pentecostal Christians struggling to uphold the tradition’s division between body and soul. Young and old internalise the notion that “the flesh” is sinful and thus by extension any sexual feelings or material wants. Fourteen-year-old John Grimes fears divine punishment for his burgeoning queer sexuality and the desire to enjoy the pleasures of the material world. His adopted father, Gabriel, poses as a devout man, while hiding a history of adultery; John’s mother, Elizabeth, likewise bore John outside of marriage – a fact for which she refuses to apologise. Despite the pressure to repress bodily needs in pursuit of the spiritual, characters either deliberately choose or simply cannot resist the needs of the body. The conflict culminates in John’s religious conversion: an intimately bodily experience in which he is faced with the hypocrisy of his own community and ultimately accepts both his sexuality and God, thus bridging the gap between body and soul."
12,margan005,7,"James Baldwin’s Go Tell It on the Mountain criticises hypocrisy in Pentecostal Christianity. The young protagonist John Grimes’s narrative of sexual awakening in his sexually repressive community is interspersed with flashbacks of his stepfather, Gabriel, committing adultery and engaging in premarital sex. Head deacon Gabriel treats John as sinful, and the community at large preaches against the sins of the flesh while failing to recognise that their religious experiences – such as John’s conversion – are bodily experiences. John, however, does not reject his sexuality nor his body upon being converted, thus offering an alternative to the sexual repression of traditional Pentecostal Christianity. The novel includes other examples of hypocrisy: the virtuous Deborah being treated as “filthy” for having been raped; the pastor’s nephew, Elisha, criticising other young people for not attending service regularly while he himself is inconsistent; and the devout Christian Gabriel striking his son, Roy, with a belt."
13,margan005,11,"Go Tell It on the Mountain by James Baldwin is a novel of bodily religious experiences. Young John Grimes has his conversion on the threshing-floor of his Pentecostal church, in which he has vivid visions of his hated father, the fires of hell, and his sexually conservative religious community, before ultimately glimpsing God. It is a deeply bodily experience, including visions, smells, tastes, and most of all the sounds of his community – the older boy Elisha in particular, whom John finds sexually appealing. John’s conversion thus leads him to accept God as well as his body and sexuality. Other characters are less fortunate: John’s father, Gabriel, has had multiple religious experiences throughout his life: a baptism he resisted, a painful conversion atop a hill, and sinful dreams supposedly sent by Satan. His experiences make him deeply devout but also leave him violent and sexually frustrated, showing a failure of religious experience to improve him as a person."
14,margan005,25,"Ritual in James Baldwin’s Go Tell It on the Mountain primarily manifests through prayer, song, and conversion. Each member of the novel’s Pentecostal church must kneel and pray privately to God before joining a service, and the service is itself is shown to be filled with passionate song. The fourteen-year-old John is alienated by these rituals, as is his sceptical aunt, Florence, who only remembers one song from her youth. The main body of the novel is focused on prayer specifically, the chapters being named “The Prayers of the Saints”, “Florence’s Prayer”, “Gabriel’s Prayer”, and “Elizabeth’s Prayer”. Each prayer is introspective, taking the narrative back through a given character’s memory. Head deacon Gabriel is shown to have been baptised and having consistently prayed and worshipped throughout his life, believing that for salvation, one must be reborn perpetually. The act of rebirth is most obviously seen in the conversion of John: an irresistible hallucinatory experience which renders him “saved” by God. While in its intensity and unexpectedness the conversion may well appear far removed from the repetitions and observance of ritual, the conversion experience itself and subsequent reference to and recreation of it is a central part Pentecostal worship. In placing a conversion at the centre of the narrative, the shape of the novel bears the imprint of this dimension of Pentecostal worship. "
15,margan005,28,"The Black Pentecostal church in James Baldwin’s Go Tell It on the Mountain openly condemns sexuality as sinful. Their church’s pastor, Father James, publicly humiliates teenager Elisha and Ella Mae for spending time together, and Elisha warns the fourteen-year-old John Grimes to be wary of temptation. In private, however, characters experience and engage with sexual feelings in various ways: John undergoes a queer sexual awakening and fears divine punishment for having masturbated; his stepfather, Gabriel, hides a history of masturbation, infidelity, and brothel-visits and projects his shame onto John; and John’s mother, Elizabeth, remembers her premarital affair with John’s biological father, Richard, whom she loved deeply. The conflict between religious chastity and worldly sexuality shapes John’s conversion, in which the voice of his same-sex crush, Elisha, leads John towards both God and an acceptance of his sexuality. His sexuality becomes a pathway to transcendence, while other characters’ sexual conservatism renders them unhappy and hypocritical."
16,margan004,6,"In Bhabani Bhattacharya’s He Who Rides a Tiger a false temple is constructed in honour of Shiva. The temple is supported by a group of wealthy patrons to whom the temple’s Brahmin priests minster. Kalo, a blacksmith and the novel’s protagonist, leads the temple, fraudulently presenting as a Brahmin priest; he is unhappy with the temple’s neglect of the starving population. The temple consumes resources that should be directed elsewhere. While maintaining his priestly pretence, Kalo diverts milk used in temple ritual to the starving people, weathering opposition from the temple authorities. In a dramatic final speech, Kalo reveals his identity and expresses solidarity with the masses."
17,margan004,7,"In Bhabani Bhattacharya’s He Who Rides a Tiger, Hindu worship and the caste system that supports it is exposed for hypocrisy. Brahmin priests live comfortable lives supported by rich patrons who use their association with the temple to launder their public image; one temple supporter, for instance, traffics starving village girls – including Kalo’s daughter Chandra Lekha – into the brothels of Kolkata. Care for caste boundaries and ritual regulations facilitates social neglect. In one incident, the priests and temple authorities protest when Kalo, who fraudulently presents as a Brahmin priest, diverts to the needy the milk used in the ritual bath of the temple’s image of Shiva rather than pouring it into the River Ganges as the principles of the ritual dictate. Dedication to upholding rituals enables practitioners to ignore human misery and to forestall social action to improve conditions. The hypocrisy is ultimately too much for Kalo to bear; at the close of the novel, he reveals his identity and joins the people’s cause. "
18,margan004,10,"In Bhabani Bhattacharya’s He Who Rides the Tiger, Kalo, the protagonist, has lived a dignified life as a skilled blacksmith in a Bengal village, but is reduced to penury in a time of famine. Forced to migrate to Kolkata to seek work, Kalo struggles to hitch a ride on the local train. Abused by the police and starving, Kalo steals a banana from a passenger; is caught; and is then sentenced to a lengthy term of hard labour in prison. Upon his release, Kalo eeks out an existence with a series of undignified and illegal occupations. While Kalo is working as a pander for a brothel owner, agents of Kalo’s employer traffic Chandra Lekha, Kalo’s own daughter, into one of the brothels. Angered by the suffering and exploitation the caste system facilitates, Kalo seeks revenge. He resolves to practise as a false priest, blasphemously desecrating the religion that upholds the exploitive system. Once he begins to enjoy the material comfort his fraud affords, Kalo must choose whether or not to marry his daughter to a temple patron to maintain the ruse. Kalo eventually follows his conscience, revealing his identity and freeing Chandra Lekha from the obligation to marry."
19,margan004,12,"The action of Bhabani Bhattacharya’s He Who Rides a Tiger pivots on the appearance of the god Shiva at an uninspiring site on the outskirts of Kolkata. The appearance was witnessed by Kalo, the protagonist, Chandra Lekha, Kalo’s daughter, and a local audience. After the image of Shiva appears, a temple is established at the site, which Kalo and his daughter run. The appearance, however, was fraudulent. Kalo prepared the site beforehand. He chiselled an image of Shiva from stone and buried it on top of some pulses. At the time of the appearance, Kalo watered the ground, the pulses sprouted, and the stone image was pushed up above ground. This staged miracle gives Kalo, a low born blacksmith masquerading as a Brahmin priest, the new authority."
20,margan004,14,"The protagonist of Bhabani Bhattacharya’s He Who Rides the Tiger is Kalo, a low caste blacksmith. Immiserated by famine, Kalo takes extraordinary action. Having learned about Hindu ritual from a jailed activist, a Brahmin by birth, Kalo impersonates a Hindu priest. He uses a simple trick to create a false miracle involving the appearance of Shiva; a temple is then. established at the site of the alleged miracle. The temple attracts rich benefactors, and Kalo and his daughter soon enjoy levels of material comfort they have never known before. In addition to a means of obtaining sustenance, Kalo undertakes the ruse as a form of revenge against an exploitive system underwritten by Hindu religion and the caste system. His resolve is tested as he seeks to maintain his standard of living while also remaining true to his conscience. Moved by the plight of the starving masses, Kalo risks his delicate position, attracting scrutiny by challenging the temple’s other priests. He diverts the milk used in temple rituals from being poured into the Ganges as tradition dictates and donates it instead to the poor. To the frustration of the temple priests, Kalo hires a poor blacksmith as temple caretaker and entertains the activist he befriended in prison. His biggest test is whether or not to marry his daughter to a temple patron. He ultimately chooses not to do so."
21,margan004,20,"A dream of the coming of Shiva shapes the action of Bhabani Bhattacharya’s He Who Rides a Tiger. Kalo, the protagonist, and Chandra Lekha, his daughter, oversee the building of a temple following the appearance of Shiva at a site on the edge of Kolkata. The appearance of the god is witnessed by a large crowd of spectators who testify to its veracity. This audience had been secured in advance by Chandra Lekha in publicising a dream her father had enjoyed. In this dream, Shiva visited Kalo and said that he lay in a patch of waste ground and Kalo only needed to water the land for him to appear. The dream secures a large audience because Chandra Lekha is a striking messenger. She is not only arrestingly beautiful, but also mysteriously downcast. Having been trafficked into Kolkata by a brothel-owner, Chandra Lekha’s depression, as the reader understands, is a product of trauma, but to the witnesses and the growing temple community it is a mark of divinity. Chandra Lekha’s beauty and her sombre manner capture the community’s imagination."
22,margan004,25,"Bhabani Bhattacharya’s He Who Rides the Tiger is fascinated by ritual practice at the temple dedicated to Shiva around which the action of the novel turns. The fascination arises at least in part because Kalo, the protagonist, is masquerading as a Brahmin priest. The rites are recorded because they are rites that Kalo must imitate to substantiate his ruse. The novel records his fingering of the Brahminic thread that he wears and his close observation of the real priests he employs to utter mantra (that he cannot master himself). The novel details the ritual calendar of the temple: the aroti ceremony to welcome the god, the bhoga or food offering, the yagna ceremony performed on certain scared days when ghee was poured into a sacrificial fire accompanied by chanted mantra, and the milk baths of Shiva. Within the dynamic of the novel, the dedication to detail is ludicrous, given that the observance, insofar as it is performed by a blacksmith rather than a Brahmin, is blasphemous. Ritual is depicted as hollow, formulaic, and out of touch. This critique is focused on the waste of food and financial resources dedicated to ritual at a time of national crisis and famine. The novel not only insists that the food and money dedicated to ritual life would be better spent on the immiserated population, but also that attention to ritual formulae and traditions is a means of avoiding the pressing work of improving the material conditions of the masses. Ritual is a distraction."
23,margan006,9,"At the beginning of Frances Hodgson Burnett’s The Secret Garden, the main character, Mary Lennox is disenchanted, lonely, unpleasant and unmotivated. Across the novel, her outlook changes through her interactions with the landscape around her, particularly the titular garden and with wise characters who have a strong, positive relationship with the land (the Yorkshire moors) and with each other. Burnett refers to the source of Mary’s changing awareness as ‘Magic’ (see spirituality). The landscape itself reveals enchantment through the changes from winter (presented as bleak) to spring (presented as expansive and joyous) (see nature). "
24,margan006,13,"The primary plot driver for Frances Hodgson Burnett’s The Secret Garden is the healing of the main characters: Mary Lennox and Colin Craven. Mary is orphaned at the beginning of the novel; after both her parents dye in a cholera outbreak in India, she is sent to live with her uncle in Yorkshire. Mary is presented as a sickly, unhappy and unpleasant child at the beginning of the story and the novel follows her journey towards health and happiness, largely achieved through nutrition, outdoor exercise, growing sense of purpose (restoring a neglected garden [see nature] and challenging her cousin, Colin Craven, to follow her example) and interaction with kind and wise figures in the novel: Martha, Dickon and Susan Sowerby. Mary’s healing journey is echoed in Colin’s, who enters the book as an invalid expected to die before reaching adulthood. Following Mary, Colin also grows healthier, until he is able to walk again and ultimately declares himself entirely well. The children refer to the source of their healing as magic, a form of positive thinking largely derived from Christian Science."
25,margan006,19,"Nature is a primary aspect of Frances Hodgson Burnett’s The Secret Garden. The plot centres around the healing of two children, through the search for, discovery off and restoration of the titular hidden garden. Mary is aligned with gardens from early in the text and the growth of plants in spring is central to the text and a robin is Mary’s first friend and helps her find the hidden garden. The child character Dickon is a Romantic Pan-figure (some readers detect a latent thread of the sexuality that often accompanies depictions of Pan, but Burnett pulls back from such depictions through emphasising the innocence of the children, especially Dickon). Dickon is accompanied by tamed wild creatures – a crow, a lamb and a fox – and has a deep affinity with the Yorkshire moor (presented at first as bleak and then as beautiful, enchanting, but far off space Mary can see but does not visit) and for the creatures that live there. He assists Mary and Colin in their work to restore the garden. Dickon represents Romantic notions of childhood as innocent, aligned with nature and containing wisdom lost to adults."
26,margan006,22,"In Frances Hodgson Burnett’s The Secret Garden, Mary cites Indian stories as a source for Magic and draws comparisons between Dickon and Indian snake charmers. Magic is described as a natural element that is subject to scientific experiments and positive thinking. Colin asks his companions for a song of thanks and joy and Dickon teaches them the Doxology. This is the most overt Christian moment in the text but Burnett does not suggest the children are worshiping a Christian God, but rather using a Christian prayer to express thanks to the Magic, a mysterious but natural force for growth and health in the world."
27,margan007,4,"Mary Butts’s Armed with Madness is set among a group of young bohemians and intellectuals in the aftermath of the First World War. The novel makes clear that the default for such men and women at this period is non-belief in God, at least insofar as He is understood in the organised Christian Church. Yet among the central family of characters—the Taverners—and especially in Scylla there persists an older form of faith in the sanctity of the land and in the mysterious forces (mana) that work through it. These forces and the form of worship they demand are alien and perhaps even hostile to outsiders. Chief among the latter is Dudley Carson who as a visitor from America represents the kind of materialistic and rationalistic culture that would deny the reality of the supernatural or spiritual."
28,margan007,9,"Much of Mary Butts’s Armed with Madness takes place in and around Tollerdown in the West Country, the setting for the Taverners’s rural house. As in other works of fiction and non-fiction by Butts, her understanding of landscape is Pantheistic or animistic, suggesting a flow of nonhuman energy or the indwelling of spirits and gods through the natural world. Natural features such as woods and coastlines are peculiarly lively and strange as if animated by a divine energy, while ancient earthworks seem charged with the power of the pagan lives and rituals that have been enacted there. Butts was indebted to Jane Harrison’s concept of mana suggesting a wild and unpredictable force in nature. But Armed with Madness also conveys a strong sense of sacramentalism in nature drawing on her increasing attraction to Anglo-Catholic worship."
29,margan007,19,"Much of Mary Butts’s Armed with Madness takes place in and around Tollerdown in the West Country, the setting for the Taverners’s rural house. As in other works of fiction and non-fiction by Butts, her understanding of landscape is Pantheistic or animistic, suggesting a flow of nonhuman energy or the indwelling of spirits and gods through the natural world. Natural features such as woods and coastlines are peculiarly lively and strange as if animated by a divine energy, while ancient earthworks seem charged with the power of the pagan lives and rituals that have been enacted there. Butts was indebted to Jane Harrison’s concept of mana suggesting a wild and unpredictable force in nature. But Armed with Madness also conveys a strong sense of sacramentalism in nature drawing on her increasing attraction to Anglo-Catholic worship."
30,margan007,22,Mary Butts’s Armed with Madness presents a “deep insular” view of the West Country where families and traditions are long-lived and an ancient landscape featuring ancient monuments and prehistoric earthworks seems charged with primitive energies. Modernity is presented as a threat to the continuity of life in this ancient and sacred place. The younger generation of Taverners can no longer afford the upkeep of their country house. And the increasing encroachment of city-dwellers and international visitors (American and Russian) presents both an actual and symbolic threat to the organic ties between the native inhabitants and the land which is their birthright.
31,margan007,25,"The characters in Mary Butts’s Armed With Madness engage in and re-stage a series of rituals variously referencing Arthurian myths, occult and pagan practices and the lives of the Christian saints. The most significant of these rituals follows Felix, Clarence and Pictus’s supposed recovery of an ancient cup from a well. The characters embark on a quest to understand the mystery of this “Sanc-Grail” and despite its uncertain provenance undergo a ritual of sorts (“something like a ritual”) in the process. Other rituals performed in the novel suggest animistic beliefs and or pagan mystery rites. These often involve the love-triangle between Scylla, Pictus and Clarence and include Pictus’s fashioning and destruction of a wax effigy of Scylla and Scylla and Pictus’s sexual encounter under Gault Cliffs. Towards the end of the novel the American Carston saves Scylla from Clarence who would seem intent on sacrificing Scylla in a re-enactment of the martyrdom of Saint Sebastian."
32,margan007,27,"The martyrdom of Saint Sebastian is a recurring theme in the novel and is especially significant in relation to the love triangle between Clarence, Pictus and Scylla. Clarence makes a clay effigy of Pictus in order to shoot it with arrows before typing Scylla to the statue and preparing to shoot her instead. She survives after Carston arrives to interrupt the ritual."
33,margan007,32,"The plot in Mary Butts’s Armed with Madness turns on Pictus’s discovery of ‘an odd cup of some greenish stone’ in a well. The characters embark on quest to understand the mystery of this Sanc-Grail and, although myriad more mundane origins are suggested for the cup (an altar cup, a Keltic chalice, an ashtray and an Indian poison cup) it holds an enduring fascination and seemingly independent power over the unfolding of events. Even following the revelation that Pictus planted the cup in the well in the first place the “logic” of the quest is worked out to the end. Other magical or animistic objects are suggested in the text including Clarence’s mazer, “a ring near to a magic ring”, and the effigy of Scylla that Pictus fashions out of wax and then destroys."
34,margan008,1,"In Philip K. Dick’s Ubik, death is merely a barrier between one world and another. After death, a person is put in Cold-pac, where their remaining life, known as half-life, can be accessed in organizations known as Moratoriums. In a Moratorium, a person from the physical world can communicate with the dead who remain in half-life. When a bomb blast appears to kill Glen Runciter, the group that accompanies him desperately attempt to get him into half-life before his time runs out. But as the world around them appears to revert back in time, they start to question who is dead, and who is alive."
35,margan008,14,"Philip K. Dick’s Ubik explores holy people as guides that bridge gaps between the spiritual and material realm. Glen Runciter and his wife Ella are the primary guides in the novel, with Glen presumably occupying the material realm, while Ella remains in the spiritual realm of half-life.  Glen initially communicates with his associates, trapped in half-life, through cryptic texts, such as bathroom scrawls or hidden notes, before he finally manages to directly communicate with Joe Chip, one of his most trusted associates. Meanwhile, Ella, residing in half-life, guides and sustains those who degrade rapidly in half-life, thanks to her invention, the Ubik spray."
36,margan008,20,"In Ubik, Philip K. Dick explores psychic powers in individuals, many of whom experience visions prior to a bomb blast that leaves them, or their boss, Glen Runciter, dead.  The visions center around two people, Bill and Matt, who claim that they are out to “get” them. While the interpretation of what the visions mean is left intentionally vague, each person who experiences a visitation ends up dying, seemingly from decay, in half-life. Joe Chip also experiences what can be considered a vision when Glen Runciter appears, almost like an apparition, in Joe’s hotel room, giving him a can of Ubik to cure his decaying body. After healing Joe, Runciter vanishes without a trace."
37,margan008,23,"In Philip K. Dick’s Ubik, some people are classified as telepaths. These people have psychic powers that enable them to intuit or alter the world in various ways, such as granting telepaths visions of the future, or the ability to reshape the present by altering the past. Further, the novel explores how perceptions can misguide and deceive. The predominant viewpoint character, Joe Chip, assumes that he is alive, while his boss, Glen Runciter is dead. This assumption is later turned around, when it is revealed that Joe and his companions are dead, while Runciter is alive. Yet the novel ends with a reveal that sows doubt even about Runciter’s place in the world."
38,margan008,31,"Philip K. Dick’s Ubik explores a world beyond the material realm, where those who die are suspended in half-life, still capable of communicating with those in the material world. The spiritual realm in which those suspended in half-life find themselves appears to be like the material world in the novel. Yet a presence in the spiritual realm actively feeds on its inhabitants, and can revert locations, items, and people to previous forms. What was initially a mirror of the 1992 setting of the novel slowly reverts to a 1939 version, where only a can of Ubik, a special form of salvation, can temporarily halt the reversion process."
39,margan010,10,"Forster’s Passage to India offers a set of human-centred values to replace the Christian moral code which is reduced to an alibi for colonial and class hierarchies and bourgeois propriety. As in his other novels and non-fiction the keynotes of his ethics are love, tolerance and sympathy and in isolated episodes across the novel these values allow for connection and understanding cross-class, gender and religion. Forster’s best-known discussion of these values appears in ‘What I Believe’. He is often held up as a key figure in the development of the modern Humanist movement in Britain."
40,margan010,11,Foster’s Passage to India describes the colonial infrastructure of India towards the end of Empire and at the beginning of the transition to independence. The novel features the Civil Station where the British officials live and the Chandrapore Club which Indians are not allowed to enter. The Government College run by the Principal Mr Fielding appears more enlightened and it is here that the British characters encounter Indians from the professional classes including Dr Aziz and Professor Godbole. After Adela Quested accuses Aziz of assault he is put on trial at the Court where it seems the machine of justice will run inexorably to the only possible outcome. These institutions are contrasted unfavourably with Indian religions which hold out at least the possibility of unity and cross-cultural understanding. Both the Mosque and the Hindu festival at the end of the novel appear at least provisionally or in aspiration to be more inclusive in nature.
41,margan010,22,"Forster’s Passage to India has three parts named for three key locations: Mosque, Cave and Temple. Part I sees the arrival of Englishwomen Mrs Moore and Adela Quested who expects to marry Mrs Moore’s son in the fictional city of Chandrapore in British-ruled India. The mosque is the site of a key encounter between the Muslim Indian doctor, Aziz, and the English tourists where following a misunderstanding there seems a rare moment of connection between cultures. Other key scenes in part one include the Civil Station and the Chandrapore Club where the British officials and visitors live and socialise. Part two is named for the Marabar caves invoked in the first sentence of the novel as the exception to the rule that there is nothing worth seeing in the area. The caves host the pivotal event in the novel though the exact nature of that event is famously withheld from the reader. Adela disappears and accuses Aziz of assaulting her (an accusation she later retracts) while Mrs Moore experiences a spiritual crisis prompted by the strange echo, ‘Boum’, in the cave. Part III of the novel is named Temple and describes a Hindu festival which takes place several years after the events of Part II. The festival celebrates the god Krisha and would seem to anticipate an independent India in which values of unity and love triumph over colonial division and conflict."
42,margan010,29,"In a Passage to India Forster rehearses and challenges orientalist discourses contrasting the spirituality of India (disorganised and unable to modernize without English direction) with the materialism and rationality of England and English Public School Christianity (small and incapable of great feeling). India’s spirituality is identified as a key source of the ‘muddles’ and division in the novel. And yet there are also several examples in the novel where spirituality appears as a unifying or transcendent force allowing characters to apprehend if not overcome the limits colonial, social and religious differences. Following her visit to the Marabar caves for example Mrs Moore has a sudden intuition of the smallness of Christianity as compared to the vastness of the cosmos. The penultimate scene of the novel takes place at a Hindu festival for Krishna where a choir perform before the state-sponsored inscription “God is Love”. The inscription aspires to a condition of spiritual universality at the same time that the misspelling suggests its failure."
43,margan010,30,"The plot of Foster’s Passage to India turns on an event in the Marabar caves which may or may not be supernatural in origin. During a visit to the caves by the English tourists Adela Quested and Mrs Moore in the company of the Indian Dr Aziz Adela vanishes and seemingly hallucinates an assault by Aziz. Mrs Moore experiences a spiritual crisis prompted by the strange echo in the cave, ‘Boum’. Forster wrote of the source of the echo that it was ‘either a man, the supernatural or an illusion’ but withholds explanation for either of these occurrences. Other suggestions of the supernatural in the novel include the appearance of a mysterious animal supposed to be a hyena."
